system,name,distance,coordinates,stellar_class
"Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)","Gliese 555 (Wolf 1481, HN Librae, BD-11 3759)",20.39470.0070,14h 34m 16.8s12  31 10,M4.0V
"EQ Pegasi (Gliese 896, BD19 5116)","EQ Pegasi (Gliese 896, BD19 5116) A",20.42770.0044,23h 31m 52.2s19  56 14,M3.5V
"EQ Pegasi (Gliese 896, BD19 5116)","EQ Pegasi (Gliese 896, BD19 5116) B",,,M4.5V
"Gliese 581 (Wolf 562, HO Librae)","Gliese 581 (Wolf 562, HO Librae)",20.54940.0039,15h 19m 26.8s07  43 20,M3.0V
WISE 14055534,WISE 14055534,20.620.34,14h 05m 18.3s55  34 21,Y0.5
"ADS 7251 (HD 79210, Gliese 338, MCC 541)","ADS 7251 (HD 79210, Gliese 338, MCC 541) A",20.65750.0026,09h 14m 22.8s52  41 12,M0V
"ADS 7251 (HD 79210, Gliese 338, MCC 541)","ADS 7251 (HD 79210, Gliese 338, MCC 541) B",,,K7V
LHS 2090 (LP 368-128),LHS 2090 (LP 368-128),20.73880.0071,09h 00m 23.6s21  50 05,M6.5V
"Furuhjelm 46 (HD 155876, Gliese 661)","Furuhjelm 46 (HD 155876, Gliese 661) A",20.820.18,17h 12m 07.9s45  39 57,M3 V
"Furuhjelm 46 (HD 155876, Gliese 661)","Furuhjelm 46 (HD 155876, Gliese 661) B",,,M3.5 V
2MASS 15032525,2MASS 15032525,20.940.10,15h 03m 19.6s25  25 20,T5.5
LP 944-20,LP 944-20,20.96150.0070,03h 39m 35.2s 35  25 44,M9V
LP 658-2 (EGGR 45),LP 658-2 (EGGR 45),21.01020.0024,05h 55m 09.5s04  10 07,DZ11
GL Virginis (G 12-30),GL Virginis (G 12-30),21.08320.0061,12h 18m 59.4s11  07 34,M5Ve
"Gliese 625 (AC 54 1646-56, G 202-48)","Gliese 625 (AC 54 1646-56, G 202-48)",21.13090.0022,16h 25m 24.6s54  18 15,M2.0V
V1054 Ophiuchi (HD 152751),Gliese 644 A,21.19610.0065,16h 55m 25.2s08  19 21,M3 V
V1054 Ophiuchi (HD 152751),Gliese 644 Ba,,,M4 Ve
V1054 Ophiuchi (HD 152751),Gliese 644 Bb,,,M4 Ve
V1054 Ophiuchi (HD 152751),Gliese 643,,,M3.5 V
V1054 Ophiuchi (HD 152751),vB 8 (Gliese 644 C),,,M7.0 V
GJ 1128 (L 100-115),GJ 1128 (L 100-115),21.21210.0034,09h 42m 46.3s68  53 06,M4.0V
"HD 219134 (HR 8832, Gliese 892)","HD 219134 (HR 8832, Gliese 892)",21.33640.0069,23h 13m 17.0s57  10 06,K3V
WISE 08252805,WISE 08252805,21.370.28,08h 25m 07.4s28  05 49,Y0.5
WISE 04101502,WISE 04101502,21.560.29,04h 10m 22.8s15  02 47,Y0
WISE J05211025,WISE J05211025,21.710.44,05h 21m 26.4s10  25 27,T7.5
"GJ 3737 (LHS 337, L 471-42)","GJ 3737 (LHS 337, L 471-42)",21.73240.0047,12h 38m 49.1s38  22 53,M4.5V
Gliese 408 (Ross 104),Gliese 408 (Ross 104),22.00810.0038,11h 00m 04.3s22  49 59,M3.0V
