Column1,Column2,Column3,Column5,Column6
2MASS J08354256-0819237§,2MASS J08354256-0819237§,23.581±0.037,08h 35m 42.6s?08° 19? 24?,L5
GJ 4274 (L 788-34),GJ 4274 (L 788-34),23.5955±0.0082,22h 23m 07.0s?17° 36? 26?,M4.5Ve
Gliese 667 (142 G. Scorpii),A$,23.6232±0.0048,17h 18m 57.2s?34° 59? 23?,K3V
,B$,,,K5V
,C,,,M1.5V
WISE 0607+2429§,WISE 0607+2429§,23.624±0.089,06h 07m 38.7s+24° 29? 54?,L8
WISE 0313+7807§,WISE 0313+7807§,24.05±0.51,03h 13m 26.0s+78° 07? 44?,T8.5
2MASS 1507-1627§,2MASS 1507-1627§,24.169±0.047,15h 07m 47.7s?16° 27? 389?,L5.5
"HD 4628 (96 G. Piscium, Gliese 33)$","HD 4628 (96 G. Piscium, Gliese 33)$",24.250±0.010,00h 48m 23.0s+05° 16? 50?,K2.5V
Beta Hydri$,Beta Hydri$,24.327±0.020,00h 25m 45.1s–77° 15? 15?,G2IV
WISE J2000+3629§,WISE J2000+3629§,24.45±0.41,20h 00m 50.2s+36° 29? 50?,T8
GJ 3991 (G 203-47),A,24.784±0.081,17h 09m 32.0s+43° 40? 49?,M3.5V
,B,,,D?
Alpha Piscis Austrini,B (TW PsA)$,24.7929±0.0052,22h 56m 24.17s?31° 33? 56?,K5Vp
107 Piscium$,107 Piscium$,24.805±0.029,01h 42m 29.8s+20° 16? 07?,K1V
G 141-36,G 141-36,24.8445±0.0075,18h 48m 17.5s+07° 41? 21?,M6V
Gliese 514 (BD+11 2576),Gliese 514 (BD+11 2576),24.8782±0.0051,13h 29m 59.8s+10° 22? 38?,M1.0V
WISE 1738+2732§,WISE 1738+2732§,24.92±0.41,17h 38m 35.5s+27° 32? 59?,Y0
GJ 4053 (G 258-33),GJ 4053 (G 258-33),24.9254±0.0041,18h 18m 57.2s+66° 11? 33?,M4.5V
WISE J2354+0240§,WISE J2354+0240§,24.97±0.65,23h 54m 02.8s+02° 40? 14?,Y1
GJ 4248 (L 499-56),GJ 4248 (L 499-56),25.008±0.010,22h 02m 29.4s?37° 04? 51?,M3.5
Mu Cassiopeiae (Gliese 53),A$,25.033±0.084,01h 08m 16.4s+54° 55? 13?,G5VIp
,B,,,M5V
Alpha Piscis Austrini,C (LP 876-10),25.0368±0.0062,22h 48m 04.5s?24° 22? 08?,M4V
Vega (Alpha Lyrae)$,Vega (Alpha Lyrae)$,25.045 ± 0.069,18h 36m 56.3s+38° 47? 01?,A0Va
VX Arietis (Gliese 109),VX Arietis (Gliese 109),25.0513±0.0054,02h 44m 15.5s+25° 31? 24?,M3.5V
Alpha Piscis Austrini,A (Fomalhaut)$,25.126±0.091,22h 57m 39.0s?29° 37? 20?,A3V
AN Sextantis (Gliese 382),AN Sextantis (Gliese 382),25.1364±0.0049,10h 12m 17.7s?03° 44? 44?,M1V
Gliese 673 (HD 157881)$,Gliese 673 (HD 157881)$,25.1575±0.0034,17h 25m 45.2s+02° 06? 41?,K7V
SIPS 1259-4336,SIPS 1259-4336,25.200±0.012,12h 59m 04.7s?43° 36? 24?,M7.5V
"LHS 1070 (LP 881-64, GJ 2005)",A,25.222±0.024,00h 24m 44.2s?27° 08? 25?,M5.5-6V
,B,,,M8.5V
,C,,,M9-9.5V
G 192-13 (GJ 3378),G 192-13 (GJ 3378),25.2245±0.0055,06h 01m 11.0s+59° 35? 50?,M4.0Ve
Gliese 701 (HD 165222),Gliese 701 (HD 165222),25.2407±0.0050,18h 05m 07.6s?03° 01? 53?,M1V
GJ 1093 (G 109-35),GJ 1093 (G 109-35),25.286±0.012,06h 59m 28.8s+19° 20? 56?,M5Ve
LP 71-82 (G 227-22),LP 71-82 (G 227-22),25.4203±0.0063,18h 02m 16.6s+64° 15? 44?,M5.0V
WISE 1800+0134§,WISE 1800+0134§,25.47±0.10,18h 00m 26.5s+01° 34? 57?,L7.5
Gliese 623,A,25.585±0.097,16h 24m 09.3s+48° 21? 11?,M3.0Ve
,B,,,M
WISE J0005+3737§,WISE J0005+3737§,25.70±0.43,00h 05m 17.5s+37° 37? 21?,T9
Gliese 54 (CD-68 47),A,25.702±0.081,01h 10m 22.9s?67° 26? 42?,M2.5V
,B,,,M
2MASS 0729-39§,2MASS 0729-39§,25.82±1.82,07h 29m 00.0s?39° 54? 04?,T8
GJ 1224 (G 154-44),GJ 1224 (G 154-44),25.9987±0.0063,18h 07m 32.8s?15° 57? 47?,M4Ve
SCR J0740?4257,SCR J0740?4257,26.0295±0.0045,07h 40m 11.8s?42° 57? 40?,M4.5
"BB Capricorni (Wolf 922, Gliese 831)",A,26.030±0.062,21h 31m 18.6s?09° 47? 26?,M4.5V
,B,,,M
Gliese 257 (CD-44 3045),A,26.2274±0.0084,06h 57m 46.6s?44° 17? 28?,M3.5V
,B,,,M
GJ 1151 (G 122-49),GJ 1151 (G 122-49),26.231±0.012,11h 50m 57.7s+48° 22? 39?,M7
Gliese 480.1 (L 399-68),Gliese 480.1 (L 399-68),26.2637±0.0062,12h 40m 46.3s+43° 33? 59?,M3V
Pi3 Orionis (Tabit)$,Pi3 Orionis (Tabit)$,26.316±0.036,04h 49m 50.4s+06° 57? 41?,F6V
Gliese 486 (Wolf 437/Gar),Gliese 486 (Wolf 437/Gar),26.3506±0.0070,12h 47m 56.6s+09° 45? 05?,M3.5Ve
2MASS J21481628+4003593§,2MASS J21481628+4003593§,26.37±0.08,21h 48m 16.3s+40° 03? 59?,L6.5pec (red)
Gliese 793 (G 262-15),Gliese 793 (G 262-15),26.3764±0.0032,20h 30m 32.0s+65° 26? 58?,M3V
GJ 1154 (G 13-22),GJ 1154 (G 13-22),26.3789±0.0096,12h 14m 16.5s+00° 37? 26?,M4.5Ve
Gliese 300 (L 674-15),Gliese 300 (L 674-15),26.4730±0.0051,08h 12m 40.9s?21° 33? 07?,M3.5V
"G 99-47 (EGGR 290, GJ 1087)‡","G 99-47 (EGGR 290, GJ 1087)‡",26.4740±0.0037,05h 56m 25.5s+05° 21? 48?,DAP8.9
Gliese 686,Gliese 686,26.6132±0.0038,17h 37m 53.3s+18° 35? 30?,MV
"Gliese 293 (LAWD 26, L 97-12)‡","Gliese 293 (LAWD 26, L 97-12)‡",26.6439±0.0025,07h 53m 08.1s?67° 47? 31?,DC8.8
UGPS J0521+3640§,UGPS J0521+3640§,26.69±0.35,05h 21m 26.9s+36° 41? 00?,T8.5
p Eridani (Gliese 66),A$,26.7334±0.0070,01h 39m 47.6s?56° 11? 47?,K2V
,B$,,,K2V
L 173-19,L 173-19,26.7982±0.0070,02h 00m 38.3s?55° 58? 05?,MV
Gliese 884 (HD 217357)$,Gliese 884 (HD 217357)$,26.8502±0.0055,23h 00m 16.1s?22° 31? 28?,K7+Vk
Gliese 48 (Ross 318),Gliese 48 (Ross 318),26.8530±0.0035,01h 02m 32.2s+71° 40? 47?,M3.0Ve
WISEPC J115013.88+630240.7§,WISEPC J115013.88+630240.7§,26.87±0.61,11h 50m 13.9s+63° 02? 42?,T8
Gliese 747 (G 207-16),A,27.134±0.045,19h 07m 43.0s+32° 32? 42?,M3V
,B,,,M
2MASS 0348-6022§,2MASS 0348-6022§,27.16±0.41,03h 48m 07.7s?60° 22? 27?,T7
Chi Draconis,A$,27.17±0.13,18h 21m 03.4s+72° 43? 58?,F7V
,B$,,,K0V
"WD 2359-434 (LAWD 96, Gliese 915)‡","WD 2359-434 (LAWD 96, Gliese 915)‡",27.176±0.0049,00h 02m 10.7s?43° 09? 55?,DAP5.8
Mu Herculis,Aa$,27.197±0.035,17h 46m 27.5s+27° 43? 15?,G5IV
,Ab,,,M4V
,B,,,M3.5V
,C,,,M
